"ID_tramite","ID_tipo_tramite","tramite_fecha","ID_registro","ID_provincia","ID_origen","automotor_anio_modelo","ID_tipo_automotor","ID_marca","ID_modelo","ID_automotor_uso","ID_tipo_persona","ID_localidad_titular","ID_provincia_titular","ID_genero","titular_anio_nacimiento","ID_titular_pais","titular_porcentaje_titularidad"
"50618","1","2/22/2023","779","21","1","2022","55","83","793","1","1","2598","21","2","1961","2","50"
"50619","1","2/28/2023","827","24","1","2022","55","83","793","1","2","2784","24","0","2002","0","100"
"50620","1","2/1/2023","819","22","1","2023","55","21","807","1","2","2857","22","0","2015","0","100"
"50621","1","2/8/2023","807","21","1","2022","55","83","793","1","2","2598","21","0","2001","0","100"
"50622","1","2/3/2023","806","21","1","2022","55","83","793","1","1","2509","21","2","2000","2","100"
"50623","1","2/7/2023","698","16","1","2021","55","83","792","1","2","3121","16","0","2016","0","100"
"50624","1","2/6/2023","706","17","1","2023","55","48","1319","1","1","2956","17","2","1972","2","100"
"50625","1","2/17/2023","617","12","1","2023","55","21","807","1","2","1771","12","0","2014","0","100"
"50626","1","2/16/2023","630","13","1","2023","55","21","807","1","2","2010","13","0","2014","0","100"
"50627","1","2/8/2023","615","12","1","2023","55","21","807","1","1","1771","12","2","1978","2","100"
"50628","1","2/27/2023","664","14","1","2022","55","21","807","1","1","2395","14","2","1961","2","100"
"50629","1","2/1/2023","464","2","1","2022","55","83","793","1","2","992","2","0","2020","0","100"
"50630","1","2/1/2023","464","2","1","2022","55","83","793","1","2","992","2","0","2020","0","100"
"50631","1","2/16/2023","494","2","1","2023","55","48","1319","1","2","3174","2","0","2010","0","100"
"50632","1","2/3/2023","498","2","1","2023","55","21","806","1","2","992","2","0","2018","0","100"
"50633","1","2/8/2023","167","1","1","2023","55","21","806","1","2","2185","1","0","2020","0","100"
"50634","1","2/24/2023","147","1","1","2022","55","83","793","1","2","1754","1","0","2004","0","100"
"50635","1","2/16/2023","58","1","1","2023","55","48","1319","1","2","2064","1","0","2008","0","100"
"50636","1","2/14/2023","56","1","1","2022","55","83","793","3","2","3107","1","0","1993","0","100"
"50637","1","2/27/2023","248","1","1","2022","55","83","793","1","1","3080","1","2","1969","2","100"
"50638","1","2/24/2023","268","1","1","2022","55","83","793","1","2","1626","1","0","2015","0","100"
"50639","1","2/16/2023","328","6","1","2022","55","83","793","1","2","651","6","0","2001","0","100"
"50640","1","2/2/2023","378","6","1","2021","55","21","806","1","1","651","6","2","1962","2","100"
"50641","1","2/1/2023","663","14","1","2006","54","94","313","1","2","2809","14","0","1984","0","100"
"50642","1","2/16/2023","667","14","1","2007","53","122","920","1","2","1106","14","0","2008","0","100"
"50643","2","2/8/2023","373","6","2","2022","60","13","422","1","1","651","6","2","1979","2","100"
"50644","1","2/17/2023","822","22","1","2023","52","75","516","1","1","1690","22","2","1981","2","100"
"50645","1","2/13/2023","832","24","1","2023","52","75","516","1","2","90","24","0","1980","0","100"
"50646","1","2/2/2023","731","20","1","2023","52","75","516","3","2","2566","20","0","2019","0","100"
"50647","1","2/16/2023","228","1","1","2023","52","75","516","1","2","1906","1","0","1977","0","100"
"50648","1","2/9/2023","259","1","1","2023","52","73","831","1","2","2343","1","0","1978","0","100"
"50649","2","2/24/2023","772","21","2","2023","51","75","115","1","1","2834","21","2","1983","2","100"
"50650","2","2/23/2023","788","21","2","2023","51","75","31","1","2","2809","21","0","2017","0","100"
"50651","2","2/14/2023","745","21","2","2023","51","75","280","1","2","809","21","0","2012","0","100"
"50652","2","2/14/2023","759","21","2","2023","51","75","33","1","2","1435","21","0","2014","0","100"
"50653","2","2/22/2023","771","21","2","2023","51","75","280","1","1","2927","21","2","1974","2","100"
"50654","2","2/17/2023","767","21","2","2023","51","75","33","1","2","3189","21","0","1996","0","100"
"50655","2","2/16/2023","827","24","2","2023","51","75","31","1","2","2784","24","0","1993","0","100"
"50656","2","2/16/2023","802","21","2","2023","51","75","111","1","2","3188","21","0","2012","0","100"
"50657","2","2/24/2023","794","21","2","2023","51","75","282","1","2","2598","21","0","1995","0","100"
"50658","2","2/24/2023","794","21","2","2023","51","75","111","1","2","2598","21","0","1995","0","100"
"50659","2","2/15/2023","830","24","2","2023","51","75","31","1","1","1730","24","2","1978","2","100"
"50660","2","2/15/2023","793","21","2","2023","51","75","111","1","2","2598","21","0","1999","0","100"
"50661","2","2/13/2023","807","21","2","2023","51","75","31","1","2","2598","21","0","2004","0","100"
"50662","2","2/28/2023","815","22","2","2023","51","94","126","1","2","2897","22","0","2017","0","100"
"50663","2","2/22/2023","837","23","2","2023","51","75","105","1","2","2567","23","0","2012","0","100"
"50664","2","2/28/2023","833","24","2","2023","51","94","126","1","1","2784","24","2","1973","2","100"
"50665","2","2/22/2023","837","23","2","2023","51","75","105","1","2","2567","23","0","2012","0","100"
"50666","2","2/16/2023","837","23","2","2023","51","75","105","1","2","2567","23","0","2012","0","100"
"50667","2","2/22/2023","706","17","2","2023","51","75","104","1","2","1373","17","0","2010","0","100"
"50668","2","2/27/2023","714","18","2","2023","51","75","282","1","2","2526","18","0","2010","0","100"
